Name,Train Accuracy,Train Precision,Train Recall,Train F1,Train F2,Train Confusion Matrix,Test Accuracy,Test Precision,Test Recall,Test F1,Test F2,Test Confusion Matrix,Preprocesser,Vectorizer,Classifier,Feature,Target,remarks
Baseline Model,0.8809304987167926,0.8849402122354315,0.8809304987167926,0.882793601091143,0.8817295318661116,"[[7539, 1136, 1812], [1489, 4203, 3106], [2234, 3956, 89861]]",0.8706220493945975,0.8710576519017437,0.8706220493945975,0.87080408458158,0.8707091350384443,"[[4496, 907, 1408], [1196, 2181, 2413], [1442, 2582, 60266]]",['lowercase'],count,Naive Bayes,review_text,"positive, negative, neutral",baseline model
NB Model,0.9498160936402981,0.9520464565486026,0.9498160936402981,0.9507786304591752,0.9502613298173023,"[[7101, 1985], [2804, 83539]]",0.9471078277271299,0.9474601378915405,0.9471078277271299,0.9472799362399333,0.9471782687975793,"[[4307, 1639], [1726, 55948]]",['lowercase'],count,Naive Bayes,review_text,"positive, neutral","no duplicates reviews, only positive and negative reviews"
clean NB Model,0.9515204796051308,0.9532306678679582,0.9515204796051308,0.9522766101410317,0.9518620261625061,"[[6906, 1967], [2610, 82928]]",0.9495241575443669,0.9501954060127868,0.9495241575443669,0.9498443629366699,0.9496583313567031,"[[4312, 1505], [1672, 55452]]",['lowercase'],count,Naive Bayes,review_text,"positive, neutral","no duplicates reviews, clean data, only positive and negative reviews"
Undersampled Model,0.9285397494178955,0.9287929006905233,0.9285397494178955,0.9285318849781681,0.9285903686320162,"[[8457, 536], [753, 8292]]",0.9145185431564943,0.914722381734704,0.9145185431564943,0.9145034273117888,0.9145593036040043,"[[5593, 446], [582, 5405]]",['lowercase'],count,Naive Bayes,review_text,"positive, neutral","no duplicates reviews, only positive and negative reviews, balanced data with undersampling"
Normal Stopword Model,0.9504189130503861,0.9493141312902847,0.9504189130503861,0.9498084075306974,0.9501977510326242,"[[6296, 2577], [2104, 83434]]",0.9481101348882287,0.9459102896221939,0.9481101348882287,0.9467715574274332,0.9476693476484528,"[[3870, 1947], [1319, 55805]]","['lowercase', 'stopword']",count,Naive Bayes,review_text,"positive, neutral","no duplicates reviews, cleaned model, undersampling data, only positive and negative reviews"
Custom Stopword Model,0.9538507165478599,0.9528646432584895,0.9538507165478599,0.9533022604260817,0.9536533386534825,"[[6466, 2407], [1950, 83588]]",0.9504774312451343,0.9483998325231704,0.9504774312451343,0.9491934284016984,0.9500611836176711,"[[3943, 1874], [1243, 55881]]","['lowercase', 'custom_stopword']",count,Naive Bayes,review_text,"positive, neutral","no duplicates reviews, clean model, only positive and negative reviews, custom stopwords and common english stopwords"
Lemmatizer Stopword Model,0.9522936945906727,0.9510294713831248,0.9522936945906727,0.9515735379127929,0.95204058113133,"[[6333, 2540], [1964, 83574]]",0.9490792964840088,0.9466023801169322,0.9490792964840088,0.9474931910155315,0.948582876761783,"[[3840, 1977], [1228, 55896]]","['lowercase', 'custom_stopword', 'lemmatizer']",count,Naive Bayes,review_text,"positive, neutral","no duplicates reviews, only positive and negative reviews, custom stopwords and common english stopwords, with lemmatization"
remove plural Model,0.9517852792577136,0.9505091057278301,0.9517852792577136,0.951060069727066,0.9515297704785418,"[[6310, 2563], [1989, 83549]]",0.9484914443685356,0.9460043624061922,0.9484914443685356,0.946912369631558,0.9479929823443606,"[[3827, 1990], [1252, 55872]]","['lowercase', 'custom_stopword', 'remove_plural']",count,Naive Bayes,review_text,"positive, neutral","no duplicates reviews, only positive and negative reviews, custom stopwords and common english stopwords, remove_plural"
bigram Model,0.9760727033926131,0.9762207270841755,0.9760727033926131,0.9746763801344186,0.9761023045396595,"[[6734, 2139], [120, 85418]]",0.9300932619437251,0.9336426538196748,0.9300932619437251,0.9105601475953102,0.9308009797031844,"[[1446, 4371], [29, 57095]]","['lowercase', 'custom_stopword']",count,Naive Bayes,review_text,"positive, neutral","bigram, no duplicates reviews, only positive and negative reviews, custom stopwords and common english stopwords"
TFIDF Model,0.9132516338138564,0.9095055294786955,0.9132516338138564,0.8799927580888486,0.9124999462443659,"[[804, 8069], [121, 85417]]",0.9116633037288889,0.9102355128066526,0.9116633037288889,0.8741950627126385,0.9113773873167001,"[[291, 5526], [34, 57090]]","['lowercase', 'custom_stopword']",tfidf,Naive Bayes,review_text,"positive, neutral","no duplicates reviews, only positive and negative reviews, custom stopwords and common english stopwords"
Additional Feature Model,0.9538507165478599,0.9528646432584895,0.9538507165478599,0.9533022604260817,0.9536533386534825,"[[6466, 2407], [1950, 83588]]",0.9504774312451343,0.9483998325231704,0.9504774312451343,0.9491934284016984,0.9500611836176711,"[[3943, 1874], [1243, 55881]]","['lowercase', 'custom_stopword']",count,Naive Bayes,"review_text, helpfulness, length, price_usd","positive, neutral","no duplicates reviews, only positive and negative reviews, custom stopwords and common english stopwords"
